title,yr,director,awards,votes,release_year,Total_win,Total_Nominated
Lab Rats: Elite Force,2016,N/A,1 win & 1 nomination.,837,2016,1,1
Legend of the Three Caballeros,2018,N/A,N/A,153,2019,0,0
null,0,null,null,null,0,0,0
Mickey Mouse Clubhouse,2006,N/A,1 win & 14 nominations.,2253,2006,1,14
Milo Murphy's Law,2016,N/A,6 nominations.,1578,2016,0,6
Minnie's Bow-Toons,2011,N/A,1 win & 1 nomination.,35,2011,1,1
Phineas and Ferb: Star Wars,2014,"Robert Hughes, Sue Perrotto",N/A,492,2014,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
Randy Cunningham: 9th Grade Ninja,2012,N/A,1 win & 4 nominations.,652,2012,1,4
Raven's Home,2017,N/A,2 wins & 6 nominations.,2046,2017,2,6
Star vs. the Forces of Evil,2015,N/A,5 wins & 13 nominations.,9623,0,5,13
Stuck in the Middle,2016,N/A,4 wins & 4 nominations.,1291,2016,4,4
Sydney to the Max,2019,N/A,N/A,223,0,0,0
Take Two with Phineas and Ferb,2010,N/A,N/A,186,2010,0,0
null,0,null,null,null,0,0,0
The Lion Guard,2016,N/A,10 nominations.,1371,2016,0,10
Under the Sea: A Descendants Story,2018,Hasraf Dulull,N/A,181,2018,0,0
Vampirina,2017,N/A,1 win & 4 nominations.,530,2017,1,4
null,0,null,null,null,0,0,0
Adventures of the Gummi Bears,1985,N/A,5 nominations.,8913,1985,0,5
Disney's Doug,1996,N/A,2 nominations.,282,1996,0,2
DuckTales,1987,N/A,2 wins & 5 nominations.,27880,1987,2,5
null,0,null,null,null,0,0,0
Holiday Magic,0,N/A,N/A,null,0,0,0
Hercules,1998,N/A,2 wins & 4 nominations.,9244,1998,2,4
Kim Possible,2002,N/A,Nominated for 1 Primetime Emmy. Another 1 win & 14 nominations.,22207,2002,1,15
Little Einsteins,2005,N/A,4 nominations.,1143,2005,0,4
Mighty Ducks,1996,N/A,1 win & 3 nominations.,1155,1996,1,3
Recess,1997,N/A,1 win & 13 nominations.,21355,1997,1,13
The Emperor's New School,2006,N/A,4 wins & 3 nominations.,3977,2006,4,3
The Kid,2000,Jon Turteltaub,1 win & 3 nominations.,39194,2000,1,3
The Little Mermaid,1992,N/A,12 nominations.,3701,1992,0,12
Disneyland Around the Seasons,1966,Hamilton Luske,N/A,null,0,0,0
African Cats,2011,"Keith Scholey, Alastair Fothergill(co-director)",3 nominations.,6043,2011,0,3
Bears,2014,"Alastair Fothergill, Keith Scholey, Adam Chapman(co-director)",2 nominations.,6262,2014,0,2
Born in China,0,79 min,"English, Chinese",57,0,0,0
Chimpanzee,2012,"Alastair Fothergill, Mark Linfield",2 nominations.,5708,2012,0,2
The Crimson Wing: Mystery of the Flamingos,2008,"Matthew Aeberhard, Leander Ward",1 win & 1 nomination.,1024,2009,1,1
Monkey Kingdom,2015,"Mark Linfield, Alastair Fothergill(co-director)",2 wins & 1 nomination.,3529,2015,2,1
Penguins,2019,"Alastair Fothergill, Jeff Wilson",1 nomination.,1093,2019,0,1
Disneynature: Wings of Life,2011,Louie Schwartzberg,N/A,442,2013,0,0
Diving with Dolphins,2020,Keith Scholey,N/A,18,2020,0,0
Doc McStuffins,0,"Animation, Short, Family, Fantasy, Music, Musical","USA, Ireland",6,0,0,0
Doctor Dolittle,1998,Betty Thomas,4 wins & 11 nominations.,89150,1998,4,11
Dr. Dolittle 2,2001,Steve Carr,3 wins & 6 nominations.,40531,2001,3,6
Dog Whisperer with Cesar Millan,2004,N/A,Nominated for 3 Primetime Emmys. Another 2 wins & 2 nominations.,2539,0,2,5
Dog: Impossible,2019,N/A,N/A,null,2019,0,0
Dolphin Reef,2020,Keith Scholey,N/A,566,2020,0,0
Don's Fountain of Youth,0,"Animation, Short, Comedy",USA,7,0,0,0
Don't Look Under the Bed,1999,Kenneth Johnson,1 nomination.,2421,1999,0,1
Donald's Dog Laundry,1940,Jack King,N/A,572,1940,0,0
Donald's Golf Game,0,"Animation, Short, Comedy, Family, Sport",USA,6,0,0,0
Donald's Tire Trouble,1943,Dick Lundy,N/A,416,1943,0,0
Double Dribble,1946,Jack Hannah,N/A,318,1946,0,0
Double Teamed,2002,Duwayne Dunham,N/A,2820,2002,0,0
Doug's 1st Movie,1999,Maurice Joyce,1 nomination.,2868,1999,0,1
"Dr. Oakley, Yukon Vet",2014,N/A,N/A,323,2014,0,0
"Dr. T, Lone Star Vet",2019,N/A,N/A,17,2019,0,0
Dragon Around,1954,Jack Hannah,N/A,345,1954,0,0
Drain Alcatraz,2017,Wayne Abbott,N/A,13,2017,0,0
Drain the Bermuda Triangle,2014,Jobim Sampson,N/A,47,2014,0,0
Drain the Great Lakes,2011,"Wayne Abbott, Crispin Sadler",N/A,10,2011,0,0
Drain the Ocean: WWII,2016,Mike Slee,N/A,49,2016,0,0
Drain the Oceans,2018,N/A,1 win.,220,2018,1,0
Drain the Sunken Pirate City,2017,Sophie Elwin-Harris,N/A,11,0,0,0
Drain the Titanic,2015,Jobim Sampson,N/A,41,0,0,0
DuckTales,2017,N/A,2 wins & 12 nominations.,5051,2017,2,12
DuckTales the Movie: Treasure of the Lost Lamp,1990,Bob Hathcock,1 nomination.,24234,1990,0,1
Dug's Special Mission,2009,Ronnie Del Carmen,N/A,5161,2009,0,0
Dumbo,2019,Tim Burton,3 wins & 12 nominations.,58882,2019,3,12
null,0,null,null,null,0,0,0
Earth Live,2017,Glenn Weiss,N/A,24,2017,0,0
Easter Island Underworld,2009,Geoffrey Luck,N/A,12,2009,0,0
Eddie's Million Dollar Cook-Off,2003,Paul Hoen,N/A,2304,2003,0,0
Eight Below,2006,Frank Marshall,2 wins & 2 nominations.,58850,2006,2,2
Elena of Avalor,2016,N/A,Nominated for 1 Primetime Emmy. Another 7 wins & 17 nominations.,998,2016,7,18
null,0,null,null,null,0,0,0
Elephant,2020,"Mark Linfield, Vanessa Berlowitz(co-director)",N/A,61,2020,0,0
Elmer Elephant,1936,Wilfred Jackson,N/A,991,1936,0,0
Emil and the Detectives,1964,Peter Tewksbury,N/A,390,1964,0,0
Empire of Dreams: The Story of the 'Star Wars' Trilogy,2004,"Edith Becker, Kevin Burns",Nominated for 1 Primetime Emmy. Another 1 win.,3772,2004,1,1
Encore!,2019,N/A,N/A,235,2019,0,0
Escape to Witch Mountain,1975,John Hough,N/A,8810,1975,0,0
Even Stevens,2000,N/A,6 wins & 20 nominations.,13163,2000,6,20
Expedition Amelia,2019,N/A,N/A,10,2019,0,0
Expedition Mars,2016,N/A,N/A,18,2016,0,0
Disney's Fairy Tale Weddings,2017,N/A,1 win.,47,2017,1,0
Fantasia,1940,"James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen",8 wins & 1 nomination.,84999,1941,8,1
Fantasia 2000,1999,"James Algar, Gaëtan Brizzi, Paul Brizzi, Hendel Butoy, Francis Glebas, Eric Goldberg, Don Hahn, Pixote Hunt",4 wins & 7 nominations.,33785,2000,4,7
Fantastic Four: The Animated Series,1994,N/A,N/A,2886,1994,0,0
Fantastic Four: World's Greatest Heroes,2006,N/A,N/A,1921,0,0,0
Ferdinand the Bull,1938,Dick Rickard,N/A,2254,1938,0,0
Finding Dory,2016,"Andrew Stanton, Angus MacLane(co-director)",Nominated for 1 BAFTA Film Award. Another 17 wins & 45 nominations.,227414,2016,17,46
Finding Nemo,2003,"Andrew Stanton, Lee Unkrich(co-director)",Won 1 Oscar. Another 49 wins & 62 nominations.,911647,2003,50,62
null,0,null,null,null,0,0,0
First Kid,1996,David Mickey Evans,1 nomination.,9855,1996,0,1
Fish Hooks,2010,N/A,2 wins & 1 nomination.,2882,2010,2,1
Flight of the Navigator,1986,Randal Kleiser,4 nominations.,42322,1986,0,4
Float,2019,Bobby Rubio,N/A,1031,2019,0,0
Flowers and Trees,1932,Burt Gillett,N/A,1547,1932,0,0
Flubber,0,"Comedy, Family, Sci-Fi","Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine",null,0,0,0
null,0,null,null,null,0,0,0
For the Birds,2000,Ralph Eggleston,Won 1 Oscar. Another 5 wins & 2 nominations.,28126,2001,6,2
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
What is Cheese?,2020,Bob Peterson,N/A,26,2020,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
What is Reading?,2020,Bob Peterson,N/A,32,2020,0,0
null,0,null,null,null,0,0,0
Frank and Ollie,1995,Theodore Thomas,1 win.,524,1995,1,0
Frankenweenie,2012,Tim Burton,Nominated for 1 Oscar. Another 11 wins & 49 nominations.,94078,2012,11,50
Frankenweenie,1984,Tim Burton,1 nomination.,10736,1984,0,1
Freaky Friday,1976,Gary Nelson,N/A,11109,1977,0,0
Freaky Friday,2003,Mark Waters,Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.,120172,2003,5,11
Freaky Friday,2018,Steve Carr,N/A,916,2018,0,0
Free Solo,2018,"Jimmy Chin, Elizabeth Chai Vasarhelyi",Won 1 Oscar. Another 29 wins & 54 nominations.,46710,2018,30,54
Frenemies,2012,Daisy von Scherler Mayer,3 nominations.,3969,2012,0,3
Frozen,2013,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",null,2013,0,0
Frozen II,2019,"Chris Buck, Jennifer Lee", Robert Lopez (story by),null,2019,0,0
Full-Court Miracle,2003,Stuart Gillard,4 nominations.,816,2003,0,4
Fun and Fancy Free,0,"November 12, 2019","Edgar Bergen, Dinah Shore, Luana Patten, Anita Gordon",null,0,0,0
Fuzzbucket,0,46 min,English,null,0,0,0
G-Force,2009,Hoyt Yeatman,1 win & 1 nomination.,41151,2009,1,1
Gargoyles,1994,N/A,1 win & 11 nominations.,13699,1994,1,11
Geek Charming,2011,Jeffrey Hornaday,1 nomination.,10723,2011,0,1
Genius,1999,Rod Daniel,2 nominations.,1570,1999,0,2
null,0,null,null,null,0,0,0
George of the Jungle,1997,Sam Weisman,1 win & 3 nominations.,68409,1997,1,3
George of the Jungle 2,2003,David Grossman,N/A,6039,2003,0,0
Geri's Game,1997,Jan Pinkava,Won 1 Oscar. Another 8 wins & 1 nomination.,21679,1997,9,1
Get a Clue,2002,Maggie Greenwald,N/A,5713,2002,0,0
null,0,null,null,null,0,0,0
Girl Meets World,2014,N/A,Nominated for 3 Primetime Emmys. Another 3 wins & 16 nominations.,12220,2014,3,19
Glory Road,2006,James Gartner,2 wins & 3 nominations.,41442,2006,2,3
Go Figure,2005,Francine McDougall,1 nomination.,3121,2005,0,1
Going to the Mat,2004,Stuart Gillard,1 win & 3 nominations.,1212,2004,1,3
Good Luck Charlie,2010,N/A,Nominated for 3 Primetime Emmys. Another 4 wins & 20 nominations.,17475,2010,4,23
"Good Luck Charlie, It's Christmas!",2011,Arlene Sanford,N/A,4577,2011,0,0
Goof Troop,1992,N/A,1 win & 2 nominations.,7293,1992,1,2
Gordon Ramsay: Uncharted,2019,N/A,1 nomination.,316,2019,0,1
Gotta Kick It Up!,2002,Ramón Menéndez,2 nominations.,1551,2002,0,2
null,0,null,null,null,0,0,0
The Grasshopper and the Ants,1934,Wilfred Jackson,N/A,1304,1934,0,0
Great Migrations,2010,N/A,3 wins & 1 nomination.,694,2010,3,1
Greyfriars Bobby: The True Story of a Dog,1961,Don Chaffey,N/A,1203,1961,0,0
Gus,1976,Vincent McEveety,N/A,1481,1976,0,0
Hacksaw,1971,Larry Lansburgh,N/A,36,1971,0,0
Halloweentown,1998,Duwayne Dunham,2 nominations.,11872,1998,0,2
Halloweentown High,2004,Mark A.Z. Dippé,N/A,5443,2004,0,0
Halloweentown II: Kalabar's Revenge,0,"Adventure, Family, Fantasy",USA,6,0,0,0
Handy Manny,2006,N/A,8 wins & 1 nomination.,1288,0,8,1
Hannah Montana,2006,N/A,Nominated for 4 Primetime Emmys. Another 20 wins & 24 nominations.,35066,2006,20,28
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2008,Bruce Hendricks,1 win.,8392,2008,1,0
Hannah Montana: The Movie,2009,Peter Chelsom,6 wins & 10 nominations.,38414,2009,6,10
null,0,null,null,null,0,0,0
Hatching Pete,2009,Stuart Gillard,1 nomination.,2324,2009,0,1
Hawaiian Holiday,1937,Ben Sharpsteen,N/A,823,1937,0,0
Heavyweights,1995,Steven Brill,N/A,24212,1995,0,0
Henry Hugglemonster,2013,N/A,2 wins & 3 nominations.,312,2013,2,3
Herbie Goes Bananas,1980,Vincent McEveety,2 nominations.,4958,1980,0,2
Herbie Goes to Monte Carlo,1977,Vincent McEveety,N/A,6553,1977,0,0
Herbie Rides Again,1974,Robert Stevenson,N/A,7035,1974,0,0
Herbie Fully Loaded,2005,Angela Robinson,2 wins & 6 nominations.,43653,2005,2,6
Hercules,1997,"Ron Clements, John Musker",Nominated for 1 Oscar. Another 9 wins & 15 nominations.,195894,1997,9,16
